Original_Video_Frame,Output_Video_Frame,Wheel_ID,Confidence,Wheel_X1,Wheel_Y1,Wheel_X2,Wheel_Y2,Wheel_Well_Y,Clearance_Distance_px
1424,356,Wheel_1,0.82,0,149,40,280,147,2
1428,357,Wheel_1,0.83,0,147,44,280,145,2
1432,358,Wheel_1,0.86,0,147,48,280,143,4
1436,359,Wheel_1,0.87,0,147,51,280,140,7
1440,360,Wheel_1,0.88,0,147,55,281,147,0
1444,361,Wheel_1,0.88,0,147,59,281,147,0
1448,362,Wheel_1,0.89,0,146,64,281,146,0
1452,363,Wheel_1,0.89,0,146,69,281,144,2
1456,364,Wheel_1,0.89,0,146,74,281,143,3
1460,365,Wheel_1,0.89,0,145,79,282,141,4
1464,366,Wheel_1,0.88,0,145,83,282,140,5
1468,367,Wheel_1,0.9,0,145,89,283,139,6
1472,368,Wheel_1,0.9,0,145,93,283,137,8
1476,369,Wheel_1,0.9,0,145,98,283,136,9
1480,370,Wheel_1,0.9,0,145,102,283,135,10
1484,371,Wheel_1,0.9,0,146,107,282,134,12
1488,372,Wheel_1,0.9,0,146,112,282,133,13
1492,373,Wheel_1,0.9,0,146,117,281,132,14
1496,374,Wheel_1,0.91,0,146,121,280,132,14
1500,375,Wheel_1,0.91,0,146,126,280,131,15
1504,376,Wheel_1,0.91,0,147,131,280,130,17
1508,377,Wheel_1,0.9,2,146,136,280,130,16
1512,378,Wheel_1,0.9,6,146,140,280,130,16
1516,379,Wheel_1,0.91,10,146,145,280,130,16
1520,380,Wheel_1,0.91,15,146,150,280,130,16
1524,381,Wheel_1,0.9,19,146,155,280,130,16
1528,382,Wheel_1,0.9,25,146,161,280,130,16
1532,383,Wheel_1,0.89,30,146,166,280,130,16
1536,384,Wheel_1,0.9,36,146,172,280,130,16
1540,385,Wheel_1,0.9,42,146,177,281,129,17
1544,386,Wheel_1,0.9,47,145,183,281,130,15
1548,387,Wheel_1,0.9,52,145,187,281,129,16
1552,388,Wheel_1,0.9,57,145,193,281,129,16
1556,389,Wheel_1,0.91,62,145,198,281,129,16
1560,390,Wheel_1,0.91,67,144,205,281,129,15
1564,391,Wheel_1,0.9,72,145,209,281,129,16
1568,392,Wheel_1,0.9,79,145,215,281,129,16
1572,393,Wheel_1,0.9,85,145,220,281,129,16
1576,394,Wheel_1,0.91,89,145,226,281,129,16
1580,395,Wheel_1,0.9,95,145,231,280,129,16
1584,396,Wheel_1,0.91,101,145,237,280,129,16
1588,397,Wheel_1,0.9,107,145,242,280,128,17
1592,398,Wheel_1,0.91,111,144,247,280,128,16
1596,399,Wheel_1,0.9,116,144,252,279,128,16
1600,400,Wheel_1,0.9,122,144,258,279,127,17
1604,401,Wheel_1,0.9,128,143,263,279,127,16
1608,402,Wheel_1,0.91,133,143,269,279,127,16
1612,403,Wheel_1,0.9,138,143,273,278,126,17
1616,404,Wheel_1,0.91,144,142,279,278,126,16
1620,405,Wheel_1,0.92,150,142,285,278,126,16
1624,406,Wheel_1,0.91,155,141,291,277,125,16
1628,407,Wheel_1,0.91,161,141,296,277,125,16
1632,408,Wheel_1,0.91,167,141,302,277,124,17
1636,409,Wheel_1,0.92,173,140,308,277,124,16
1640,410,Wheel_1,0.91,178,140,314,276,124,16
1644,411,Wheel_1,0.91,184,140,320,276,123,17
1648,412,Wheel_1,0.91,190,139,326,276,123,16
1652,413,Wheel_1,0.91,195,138,332,276,122,16
1656,414,Wheel_1,0.91,200,138,338,276,122,16
