Original_Video_Frame,Output_Video_Frame,Wheel_ID,Confidence,Wheel_X1,Wheel_Y1,Wheel_X2,Wheel_Y2,Wheel_Well_Y,Clearance_Distance_px
1960,490,Wheel_1,0.78,0,165,38,276,165,0
1964,491,Wheel_1,0.82,0,164,41,276,164,0
1968,492,Wheel_1,0.84,0,165,44,276,164,1
1972,493,Wheel_1,0.85,0,165,48,276,163,2
1976,494,Wheel_1,0.86,0,165,51,276,161,4
1980,495,Wheel_1,0.87,0,165,54,276,160,5
1984,496,Wheel_1,0.87,0,164,56,276,159,5
1988,497,Wheel_1,0.86,0,163,58,276,157,6
1992,498,Wheel_1,0.86,0,163,62,276,156,7
1996,499,Wheel_1,0.87,0,163,65,276,163,0
2000,500,Wheel_1,0.88,0,162,68,276,162,0
2004,501,Wheel_1,0.88,0,162,73,277,162,0
2008,502,Wheel_1,0.89,0,161,76,276,161,0
2012,503,Wheel_1,0.89,0,161,78,277,161,0
2016,504,Wheel_1,0.88,0,161,82,277,160,1
2020,505,Wheel_1,0.89,0,161,85,277,159,2
2024,506,Wheel_1,0.89,0,161,88,277,158,3
2028,507,Wheel_1,0.89,0,161,92,277,157,4
2032,508,Wheel_1,0.89,0,161,96,277,156,5
2036,509,Wheel_1,0.89,0,161,99,276,156,5
2040,510,Wheel_1,0.89,0,161,102,276,155,6
2044,511,Wheel_1,0.89,0,161,106,277,154,7
2048,512,Wheel_1,0.89,0,161,110,277,154,7
2052,513,Wheel_1,0.89,0,161,113,277,153,8
2056,514,Wheel_1,0.89,0,161,117,277,153,8
2060,515,Wheel_1,0.89,2,161,121,277,153,8
2064,516,Wheel_1,0.89,5,161,124,277,152,9
2068,517,Wheel_1,0.89,9,161,128,277,153,8
2072,518,Wheel_1,0.89,12,161,132,277,153,8
2076,519,Wheel_1,0.89,15,161,136,277,152,9
2080,520,Wheel_1,0.89,20,161,139,277,152,9
2084,521,Wheel_1,0.89,23,161,142,277,152,9
2088,522,Wheel_1,0.89,27,161,144,277,152,9
2092,523,Wheel_1,0.89,30,161,149,277,152,9
2096,524,Wheel_1,0.89,34,161,154,276,152,9
2100,525,Wheel_1,0.89,37,161,158,276,152,9
2104,526,Wheel_1,0.9,42,161,161,277,152,9
2108,527,Wheel_1,0.89,46,161,164,277,152,9
2112,528,Wheel_1,0.89,50,160,168,277,152,8
2116,529,Wheel_1,0.89,54,160,172,276,152,8
2120,530,Wheel_1,0.89,57,160,176,276,151,9
2124,531,Wheel_1,0.9,61,160,180,276,151,9
2128,532,Wheel_1,0.89,65,160,183,276,151,9
2132,533,Wheel_1,0.89,69,160,187,276,151,9
2136,534,Wheel_1,0.89,73,160,191,276,151,9
2140,535,Wheel_1,0.89,76,160,195,276,151,9
2144,536,Wheel_1,0.89,80,160,199,276,151,9
2148,537,Wheel_1,0.89,85,160,203,276,151,9
2152,538,Wheel_1,0.89,89,160,207,276,150,10
2156,539,Wheel_1,0.89,94,160,211,276,150,10
2160,540,Wheel_1,0.89,97,160,216,275,150,10
2164,541,Wheel_1,0.89,101,160,220,276,150,10
2168,542,Wheel_1,0.9,106,160,224,276,150,10
2172,543,Wheel_1,0.89,110,160,228,276,150,10
