Original_Video_Frame,Output_Video_Frame,Wheel_ID,Confidence,Wheel_X1,Wheel_Y1,Wheel_X2,Wheel_Y2,Wheel_Well_Y,Clearance_Distance_px
1080,270,Wheel_1,0.81,0,166,40,274,166,0
1084,271,Wheel_1,0.84,0,165,45,274,164,1
1088,272,Wheel_1,0.86,0,164,51,275,162,2
1092,273,Wheel_1,0.86,0,163,55,274,159,4
1096,274,Wheel_1,0.86,0,163,59,275,157,6
1100,275,Wheel_1,0.87,0,162,64,275,155,7
1104,276,Wheel_1,0.89,0,162,70,275,162,0
1108,277,Wheel_1,0.89,0,161,75,275,161,0
1112,278,Wheel_1,0.89,0,161,80,275,159,2
1116,279,Wheel_1,0.88,0,161,86,275,158,3
1120,280,Wheel_1,0.89,0,161,91,275,157,4
1124,281,Wheel_1,0.9,0,161,96,274,156,5
1128,282,Wheel_1,0.89,0,162,102,274,155,7
1132,283,Wheel_1,0.89,0,162,108,275,154,8
1136,284,Wheel_1,0.89,1,162,114,275,153,9
1140,285,Wheel_1,0.89,5,162,119,275,153,9
1144,286,Wheel_1,0.89,10,161,124,275,153,8
1148,287,Wheel_1,0.89,15,161,130,275,153,8
1152,288,Wheel_1,0.89,20,161,136,275,153,8
1156,289,Wheel_1,0.89,26,161,141,275,152,9
1160,290,Wheel_1,0.89,32,161,147,275,152,9
1164,291,Wheel_1,0.89,37,161,153,275,152,9
1168,292,Wheel_1,0.9,44,161,159,275,152,9
1172,293,Wheel_1,0.89,50,161,164,275,152,9
1176,294,Wheel_1,0.89,56,161,170,274,152,9
1180,295,Wheel_1,0.89,61,160,177,274,152,8
1184,296,Wheel_1,0.89,67,160,182,275,152,8
1188,297,Wheel_1,0.89,73,160,187,275,152,8
1192,298,Wheel_1,0.89,78,160,193,274,151,9
1196,299,Wheel_1,0.89,84,160,200,274,151,9
1200,300,Wheel_1,0.89,91,160,205,274,151,9
1204,301,Wheel_1,0.89,96,160,212,274,151,9
1208,302,Wheel_1,0.89,102,160,218,274,151,9
1212,303,Wheel_1,0.9,109,160,223,274,151,9
1216,304,Wheel_1,0.89,115,160,229,274,151,9
1220,305,Wheel_1,0.89,121,159,235,274,150,9
1224,306,Wheel_1,0.9,127,159,241,274,150,9
1228,307,Wheel_1,0.89,133,159,247,274,150,9
1232,308,Wheel_1,0.89,139,158,254,274,150,8
1236,309,Wheel_1,0.89,144,158,260,274,149,9
1240,310,Wheel_1,0.89,151,157,266,274,149,8
1244,311,Wheel_1,0.89,157,157,272,274,149,8
1248,312,Wheel_1,0.9,162,156,279,274,148,8
1252,313,Wheel_1,0.9,169,156,285,274,148,8
1256,314,Wheel_1,0.89,175,155,291,274,148,7
1260,315,Wheel_1,0.89,182,155,298,273,147,8
1264,316,Wheel_1,0.9,188,155,304,273,147,8
1268,317,Wheel_1,0.9,194,155,310,273,146,9
1272,318,Wheel_1,0.89,200,154,316,272,145,9
1276,319,Wheel_1,0.89,207,153,323,272,145,8
1280,320,Wheel_1,0.9,213,153,330,272,144,9
1284,321,Wheel_1,0.89,220,152,336,271,143,9
1288,322,Wheel_1,0.89,226,152,342,271,143,9
1292,323,Wheel_1,0.91,233,151,350,271,142,9
1296,324,Wheel_1,0.89,238,151,356,271,142,9
1300,325,Wheel_1,0.9,245,150,363,270,141,9
1304,326,Wheel_1,0.91,252,150,370,270,140,10
1308,327,Wheel_1,0.89,258,149,377,269,140,9
1312,328,Wheel_1,0.89,264,148,384,269,139,9
1316,329,Wheel_1,0.9,271,148,391,269,139,9
1320,330,Wheel_1,0.9,277,148,397,269,138,10
1324,331,Wheel_1,0.9,285,148,404,269,138,10
1328,332,Wheel_1,0.9,291,147,411,269,137,10
1332,333,Wheel_1,0.9,298,147,418,268,136,11
1336,334,Wheel_1,0.9,305,146,426,268,136,10
1340,335,Wheel_1,0.9,311,146,434,268,136,10
1344,336,Wheel_1,0.89,318,145,441,268,135,10
1348,337,Wheel_1,0.9,325,145,448,267,135,10
1352,338,Wheel_1,0.9,332,145,456,267,134,11
1356,339,Wheel_1,0.9,339,144,464,267,134,10
1360,340,Wheel_1,0.9,347,143,471,267,133,10
1364,341,Wheel_1,0.9,354,143,479,267,133,10
1368,342,Wheel_1,0.9,361,143,486,266,132,11
1372,343,Wheel_1,0.91,368,142,493,266,132,10
1376,344,Wheel_1,0.9,377,142,502,265,131,11
1380,345,Wheel_1,0.9,384,141,508,265,131,10
1384,346,Wheel_1,0.91,391,140,516,265,130,10
1384,346,Wheel_2,0.82,0,163,48,274,161,2
1388,347,Wheel_1,0.9,397,140,523,265,130,10
1388,347,Wheel_2,0.84,0,163,55,274,157,6
1392,348,Wheel_1,0.9,404,139,530,265,130,9
