Original_Video_Frame,Output_Video_Frame,Wheel_ID,Confidence,Wheel_X1,Wheel_Y1,Wheel_X2,Wheel_Y2,Wheel_Well_Y,Clearance_Distance_px
1528,382,Wheel_1,0.81,0,148,38,275,148,0
1532,383,Wheel_1,0.84,0,149,42,276,149,0
1536,384,Wheel_1,0.85,0,148,46,277,148,0
1540,385,Wheel_1,0.86,0,146,52,278,146,0
1544,386,Wheel_1,0.87,0,147,55,278,147,0
1548,387,Wheel_1,0.88,0,147,59,279,147,0
1552,388,Wheel_1,0.88,0,147,63,279,147,0
1556,389,Wheel_1,0.88,0,147,67,279,147,0
1560,390,Wheel_1,0.88,0,146,72,279,146,0
1564,391,Wheel_1,0.88,0,146,76,280,146,0
1568,392,Wheel_1,0.88,0,146,80,280,146,0
1572,393,Wheel_1,0.88,0,146,84,280,146,0
1576,394,Wheel_1,0.89,0,146,88,280,145,1
1580,395,Wheel_1,0.89,0,146,93,280,144,2
1584,396,Wheel_1,0.9,0,146,96,280,143,3
1588,397,Wheel_1,0.9,0,146,100,280,139,7
1592,398,Wheel_1,0.89,0,146,104,280,140,6
1596,399,Wheel_1,0.89,0,146,109,279,139,7
1600,400,Wheel_1,0.9,0,146,113,279,138,8
1604,401,Wheel_1,0.9,0,147,117,279,138,9
1608,402,Wheel_1,0.9,0,147,121,279,137,10
1612,403,Wheel_1,0.9,0,147,125,279,136,11
1616,404,Wheel_1,0.9,0,147,130,279,136,11
1620,405,Wheel_1,0.9,1,147,135,279,135,12
1624,406,Wheel_1,0.9,2,147,139,279,135,12
1628,407,Wheel_1,0.89,7,147,143,279,135,12
1632,408,Wheel_1,0.89,11,147,146,279,135,12
1636,409,Wheel_1,0.9,15,147,152,279,135,12
1640,410,Wheel_1,0.91,19,147,156,278,134,13
1644,411,Wheel_1,0.9,23,147,161,279,134,13
1648,412,Wheel_1,0.89,28,147,166,279,134,13
1652,413,Wheel_1,0.89,33,147,170,279,134,13
1656,414,Wheel_1,0.9,39,147,175,279,134,13
1660,415,Wheel_1,0.89,44,147,180,279,134,13
1664,416,Wheel_1,0.9,49,147,184,279,134,13
1668,417,Wheel_1,0.89,54,147,188,279,134,13
1672,418,Wheel_1,0.9,59,147,194,279,134,13
1676,419,Wheel_1,0.9,64,147,199,279,134,13
1680,420,Wheel_1,0.9,68,147,204,278,134,13
1684,421,Wheel_1,0.9,73,147,209,278,134,13
1688,422,Wheel_1,0.9,79,147,215,278,134,13
1692,423,Wheel_1,0.9,85,147,219,277,134,13
1696,424,Wheel_1,0.91,89,146,224,277,133,13
1700,425,Wheel_1,0.89,94,146,229,277,133,13
1704,426,Wheel_1,0.89,99,146,233,277,133,13
1708,427,Wheel_1,0.9,104,146,238,277,133,13
1712,428,Wheel_1,0.9,109,145,243,276,133,12
1716,429,Wheel_1,0.9,113,144,248,276,132,12
1720,430,Wheel_1,0.9,118,144,253,276,132,12
1724,431,Wheel_1,0.91,123,143,258,276,131,12
1728,432,Wheel_1,0.9,128,143,263,276,131,12
1732,433,Wheel_1,0.9,133,142,269,276,131,11
1736,434,Wheel_1,0.9,138,142,273,276,130,12
1740,435,Wheel_1,0.91,144,142,279,275,130,12
1744,436,Wheel_1,0.91,149,142,284,275,130,12
1748,437,Wheel_1,0.91,154,141,289,275,129,12
1752,438,Wheel_1,0.9,159,142,294,275,129,13
1756,439,Wheel_1,0.91,165,141,300,275,128,13
1760,440,Wheel_1,0.91,170,141,306,275,128,13
1764,441,Wheel_1,0.9,176,141,311,274,127,14
1768,442,Wheel_1,0.9,180,140,316,274,127,13
1772,443,Wheel_1,0.9,186,140,321,274,126,14
1776,444,Wheel_1,0.9,192,139,326,273,126,13
1780,445,Wheel_1,0.9,197,139,332,273,126,13
1784,446,Wheel_1,0.9,201,138,337,273,125,13
1788,447,Wheel_1,0.91,207,138,343,273,125,13
1792,448,Wheel_1,0.9,213,137,348,272,124,13
1796,449,Wheel_1,0.9,218,137,354,272,124,13
1800,450,Wheel_1,0.9,223,137,359,272,124,13
1804,451,Wheel_1,0.9,229,137,365,272,124,13
1808,452,Wheel_1,0.9,235,136,370,271,123,13
1812,453,Wheel_1,0.9,240,136,376,271,123,13
1816,454,Wheel_1,0.9,245,136,382,271,122,14
1820,455,Wheel_1,0.9,251,136,388,271,122,14
1824,456,Wheel_1,0.9,257,136,393,270,122,14
1828,457,Wheel_1,0.9,262,135,399,270,121,14
1832,458,Wheel_1,0.9,267,135,404,269,121,14
1836,459,Wheel_1,0.9,273,135,411,269,121,14
1840,460,Wheel_1,0.9,278,135,417,269,120,15
1844,461,Wheel_1,0.9,283,134,422,269,120,14
1848,462,Wheel_1,0.9,290,134,429,269,120,14
1852,463,Wheel_1,0.9,296,133,435,269,119,14
1856,464,Wheel_1,0.9,301,134,441,269,119,15
1860,465,Wheel_1,0.9,307,133,447,268,119,14
1864,466,Wheel_1,0.91,313,132,453,268,118,14
1868,467,Wheel_1,0.9,319,132,459,268,118,14
1872,468,Wheel_1,0.9,325,132,465,268,118,14
1876,469,Wheel_1,0.9,331,131,471,268,117,14
1880,470,Wheel_1,0.9,338,130,477,268,117,13
1884,471,Wheel_1,0.89,343,130,483,267,117,13
1888,472,Wheel_1,0.9,349,129,489,267,116,13
1892,473,Wheel_1,0.9,355,128,495,267,116,12
1896,474,Wheel_1,0.89,361,128,501,266,115,13
1900,475,Wheel_1,0.9,367,128,506,266,115,13
1904,476,Wheel_1,0.9,374,127,513,266,115,12
1908,477,Wheel_1,0.9,380,127,519,266,114,13
1912,478,Wheel_1,0.9,386,127,525,266,114,13
1916,479,Wheel_1,0.9,392,127,531,266,114,13
1920,480,Wheel_1,0.9,399,126,538,267,114,12
1924,481,Wheel_1,0.89,405,127,544,266,113,14
1928,482,Wheel_1,0.9,411,127,550,267,113,14
1932,483,Wheel_1,0.9,418,127,556,268,113,14
1936,484,Wheel_1,0.9,425,128,563,269,113,15
1940,485,Wheel_1,0.9,431,130,569,271,113,17
1944,486,Wheel_1,0.91,437,131,576,271,113,18
1948,487,Wheel_1,0.91,444,133,583,273,114,19
1952,488,Wheel_1,0.91,450,134,589,274,114,20
1956,489,Wheel_1,0.91,457,135,596,274,115,20
1960,490,Wheel_1,0.91,464,135,602,274,116,19
1964,491,Wheel_1,0.91,470,135,608,275,117,18
1968,492,Wheel_1,0.91,477,136,616,275,118,18
1972,493,Wheel_1,0.91,484,136,622,275,119,17
1976,494,Wheel_1,0.91,490,136,629,275,120,16
1976,494,Wheel_2,0.84,0,147,51,278,147,0
1980,495,Wheel_1,0.91,496,136,636,275,121,15
1980,495,Wheel_2,0.86,0,147,55,278,141,6
1984,496,Wheel_1,0.91,503,136,643,275,121,15
1984,496,Wheel_2,0.86,1,147,60,279,147,0
1988,497,Wheel_1,0.9,509,136,649,275,122,14
1988,497,Wheel_2,0.87,0,146,65,280,145,1
1992,498,Wheel_1,0.91,516,136,657,274,123,13
1992,498,Wheel_2,0.87,1,145,74,279,144,1
1996,499,Wheel_1,0.9,522,136,663,274,123,13
1996,499,Wheel_2,0.88,0,145,78,279,141,4
2000,500,Wheel_1,0.9,529,136,670,274,124,12
2000,500,Wheel_2,0.88,0,144,84,280,139,5
2004,501,Wheel_1,0.91,536,137,678,274,124,13
