Original_Video_Frame,Output_Video_Frame,Wheel_ID,Confidence,Wheel_X1,Wheel_Y1,Wheel_X2,Wheel_Y2,Wheel_Well_Y,Clearance_Distance_px
1944,486,Wheel_2,0.9,18,147,160,280,131,16
1948,487,Wheel_1,0.91,534,137,677,278,122,15
1948,487,Wheel_2,0.9,24,147,166,280,131,16
1952,488,Wheel_1,0.9,542,138,685,278,123,15
1952,488,Wheel_2,0.9,31,147,173,280,131,16
1956,489,Wheel_1,0.9,550,139,692,278,124,15
1956,489,Wheel_2,0.9,39,147,181,280,132,15
1960,490,Wheel_1,0.91,559,139,701,278,124,15
1960,490,Wheel_2,0.89,48,147,188,281,132,15
1964,491,Wheel_1,0.9,567,139,709,278,125,14
1964,491,Wheel_2,0.9,55,147,196,282,132,15
1968,492,Wheel_1,0.9,574,139,716,278,125,14
1968,492,Wheel_2,0.9,63,147,204,282,132,15
1972,493,Wheel_1,0.9,582,140,724,277,125,15
1972,493,Wheel_2,0.89,71,147,211,282,132,15
1976,494,Wheel_1,0.91,590,140,731,277,126,14
1976,494,Wheel_2,0.9,79,147,219,282,132,15
1980,495,Wheel_1,0.91,599,141,739,277,125,16
1980,495,Wheel_2,0.9,87,147,227,281,132,15
1984,496,Wheel_1,0.91,607,140,747,278,125,15
1984,496,Wheel_2,0.89,94,146,233,281,132,14
1988,497,Wheel_1,0.91,614,140,754,278,125,15
1988,497,Wheel_2,0.91,101,146,241,281,131,15
1992,498,Wheel_1,0.91,622,139,762,279,125,14
1992,498,Wheel_2,0.9,109,145,249,280,131,14
1996,499,Wheel_1,0.9,630,139,770,279,124,15
1996,499,Wheel_2,0.9,117,145,256,280,130,15
2000,500,Wheel_1,0.9,638,139,777,278,124,15
2000,500,Wheel_2,0.91,125,144,264,280,130,14
2004,501,Wheel_1,0.9,647,139,786,278,123,16
2004,501,Wheel_2,0.9,133,144,271,279,130,14
2008,502,Wheel_1,0.91,653,139,794,278,123,16
2008,502,Wheel_2,0.91,141,143,279,278,129,14
2012,503,Wheel_1,0.91,661,139,801,278,122,17
2012,503,Wheel_2,0.91,149,142,286,278,128,14
2016,504,Wheel_1,0.91,669,139,809,277,122,17
2016,504,Wheel_2,0.9,156,142,293,277,128,14
2020,505,Wheel_1,0.92,676,139,816,277,122,17
2020,505,Wheel_2,0.91,164,142,301,277,127,15
2024,506,Wheel_1,0.92,684,139,823,277,121,18
2024,506,Wheel_2,0.91,171,141,309,277,126,15
2028,507,Wheel_1,0.91,692,139,831,277,121,18
2028,507,Wheel_2,0.91,179,141,316,276,126,15
2032,508,Wheel_1,0.91,699,139,839,277,121,18
2032,508,Wheel_2,0.9,187,140,325,276,125,15
2036,509,Wheel_1,0.91,707,139,846,277,121,18
2036,509,Wheel_2,0.91,194,140,332,275,124,16
2040,510,Wheel_1,0.91,715,139,854,277,121,18
2040,510,Wheel_2,0.91,202,140,339,275,124,16
2044,511,Wheel_1,0.9,723,140,862,277,120,20
2044,511,Wheel_2,0.9,211,139,347,275,123,16
2048,512,Wheel_1,0.9,732,140,871,277,120,20
2048,512,Wheel_2,0.9,218,139,355,275,122,17
2052,513,Wheel_1,0.9,738,140,878,277,120,20
2052,513,Wheel_2,0.91,225,139,362,275,122,17
2056,514,Wheel_1,0.91,746,140,886,277,120,20
2056,514,Wheel_2,0.9,233,138,370,274,121,17
2060,515,Wheel_1,0.91,754,140,893,277,120,20
2060,515,Wheel_2,0.9,240,138,378,274,121,17
2064,516,Wheel_1,0.91,762,140,903,277,120,20
2064,516,Wheel_2,0.91,249,137,386,274,121,16
2068,517,Wheel_1,0.91,770,140,910,278,121,19
2068,517,Wheel_2,0.9,257,136,393,273,120,16
2072,518,Wheel_1,0.91,777,140,918,278,121,19
2072,518,Wheel_2,0.91,263,136,401,273,120,16
2076,519,Wheel_1,0.91,784,140,926,278,121,19
2076,519,Wheel_2,0.9,271,135,410,273,120,15
2080,520,Wheel_1,0.9,794,140,934,278,121,19
2080,520,Wheel_2,0.9,279,135,418,273,119,16
2084,521,Wheel_1,0.9,802,140,942,278,122,18
2084,521,Wheel_2,0.9,286,135,426,273,119,16
2088,522,Wheel_1,0.9,810,140,950,279,122,18
2088,522,Wheel_2,0.9,294,135,434,273,119,16
2092,523,Wheel_1,0.9,817,140,959,280,122,18
2092,523,Wheel_2,0.89,302,134,442,273,119,15
2096,524,Wheel_1,0.9,824,140,962,281,122,18
2096,524,Wheel_2,0.9,309,134,451,273,119,15
2100,525,Wheel_1,0.91,833,142,962,283,123,19
2100,525,Wheel_2,0.9,318,133,460,272,119,14
2104,526,Wheel_1,0.89,840,144,962,284,125,19
