Original_Video_Frame,Output_Video_Frame,Wheel_ID,Confidence,Wheel_X1,Wheel_Y1,Wheel_X2,Wheel_Y2,Wheel_Well_Y,Clearance_Distance_px
1456,364,Wheel_1,0.84,0,155,42,279,151,4
1460,365,Wheel_1,0.86,0,152,47,280,148,4
1464,366,Wheel_1,0.87,0,151,52,281,146,5
1468,367,Wheel_1,0.88,0,151,57,282,143,8
1472,368,Wheel_1,0.88,0,152,62,282,152,0
1476,369,Wheel_1,0.89,0,152,68,282,150,2
1480,370,Wheel_1,0.89,0,152,73,282,148,4
1484,371,Wheel_1,0.89,0,152,79,282,146,6
1488,372,Wheel_1,0.88,0,152,85,282,145,7
1492,373,Wheel_1,0.89,0,152,91,282,143,9
1496,374,Wheel_1,0.9,0,151,97,282,142,9
1500,375,Wheel_1,0.89,0,151,104,282,141,10
1504,376,Wheel_1,0.89,0,151,110,282,140,11
1508,377,Wheel_1,0.9,0,151,115,282,129,22
1512,378,Wheel_1,0.9,0,151,121,281,138,13
1516,379,Wheel_1,0.9,0,151,126,281,137,14
1520,380,Wheel_1,0.9,2,151,133,282,128,23
1524,381,Wheel_1,0.9,6,151,138,282,136,15
1528,382,Wheel_1,0.9,11,151,144,282,136,15
1532,383,Wheel_1,0.89,17,151,149,283,136,15
1536,384,Wheel_1,0.89,23,151,156,282,136,15
1540,385,Wheel_1,0.89,29,151,162,281,136,15
1544,386,Wheel_1,0.89,36,151,167,281,135,16
1548,387,Wheel_1,0.89,43,151,174,281,136,15
1552,388,Wheel_1,0.89,49,151,181,280,135,16
1556,389,Wheel_1,0.9,56,151,187,281,135,16
1560,390,Wheel_1,0.9,62,151,194,281,135,16
1564,391,Wheel_1,0.9,69,151,200,281,135,16
1568,392,Wheel_1,0.89,75,151,207,281,135,16
1572,393,Wheel_1,0.89,82,151,213,282,135,16
1576,394,Wheel_1,0.9,89,151,220,282,135,16
1580,395,Wheel_1,0.89,95,150,226,283,135,15
1584,396,Wheel_1,0.89,102,151,232,283,135,16
1588,397,Wheel_1,0.91,108,150,238,282,134,16
1592,398,Wheel_1,0.89,114,150,246,281,134,16
1596,399,Wheel_1,0.9,121,151,252,281,134,17
1600,400,Wheel_1,0.9,128,150,259,281,134,16
1604,401,Wheel_1,0.9,135,150,267,280,134,16
1608,402,Wheel_1,0.9,142,149,273,280,133,16
1612,403,Wheel_1,0.9,148,148,280,279,133,15
1616,404,Wheel_1,0.9,155,147,287,279,132,15
1620,405,Wheel_1,0.9,161,147,293,279,132,15
1624,406,Wheel_1,0.9,169,146,300,279,131,15
1628,407,Wheel_1,0.9,176,145,308,279,131,14
