Original_Video_Frame,Output_Video_Frame,Wheel_ID,Confidence,Wheel_X1,Wheel_Y1,Wheel_X2,Wheel_Y2,Wheel_Well_Y,Clearance_Distance_px
1744,436,Wheel_2,0.89,1,148,127,278,136,12
1748,437,Wheel_1,0.9,565,143,701,273,133,10
1748,437,Wheel_2,0.89,1,148,133,278,136,12
1752,438,Wheel_1,0.9,572,143,709,274,134,9
1752,438,Wheel_2,0.89,6,148,141,278,136,12
1756,439,Wheel_1,0.9,579,143,716,274,134,9
1756,439,Wheel_2,0.89,13,148,148,278,130,18
1760,440,Wheel_1,0.9,588,143,723,274,134,9
1760,440,Wheel_2,0.9,18,148,154,278,136,12
1764,441,Wheel_1,0.9,594,143,731,274,134,9
1764,441,Wheel_2,0.89,24,148,161,278,136,12
1768,442,Wheel_1,0.9,601,143,737,274,134,9
1768,442,Wheel_2,0.9,30,149,166,277,136,13
1772,443,Wheel_1,0.9,608,143,744,274,134,9
1772,443,Wheel_2,0.9,38,149,174,278,136,13
1776,444,Wheel_1,0.9,615,142,750,274,134,8
1776,444,Wheel_2,0.9,45,149,181,278,136,13
1780,445,Wheel_1,0.9,621,142,757,274,134,8
1780,445,Wheel_2,0.89,52,148,188,278,135,13
1784,446,Wheel_1,0.9,629,142,764,274,134,8
1784,446,Wheel_2,0.9,60,148,196,278,135,13
1788,447,Wheel_1,0.9,636,142,770,274,133,9
1788,447,Wheel_2,0.9,66,148,202,277,135,13
1792,448,Wheel_1,0.9,642,143,776,274,133,10
1792,448,Wheel_2,0.89,72,148,207,277,135,13
1796,449,Wheel_1,0.91,649,142,783,274,133,9
1796,449,Wheel_2,0.89,79,148,213,277,134,14
1800,450,Wheel_1,0.91,656,142,790,274,133,9
1800,450,Wheel_2,0.9,86,148,221,278,134,14
1804,451,Wheel_1,0.91,662,142,797,275,132,10
1804,451,Wheel_2,0.89,93,148,227,278,134,14
1808,452,Wheel_1,0.91,670,142,804,275,132,10
1808,452,Wheel_2,0.9,98,148,232,277,133,15
1812,453,Wheel_1,0.9,676,142,810,274,132,10
1812,453,Wheel_2,0.9,106,148,239,277,133,15
1816,454,Wheel_1,0.9,682,143,817,274,132,11
1816,454,Wheel_2,0.9,113,147,246,276,133,14
1820,455,Wheel_1,0.91,690,143,823,274,132,11
1820,455,Wheel_2,0.9,119,147,251,276,132,15
1824,456,Wheel_1,0.9,697,142,832,274,132,10
1824,456,Wheel_2,0.9,126,146,259,276,132,14
1828,457,Wheel_1,0.9,702,142,837,274,132,10
1828,457,Wheel_2,0.9,132,146,265,276,132,14
1832,458,Wheel_1,0.9,710,142,844,274,132,10
1832,458,Wheel_2,0.9,139,145,271,276,132,13
1836,459,Wheel_1,0.9,715,142,850,275,132,10
1836,459,Wheel_2,0.9,144,144,278,276,131,13
1840,460,Wheel_1,0.9,722,142,855,274,132,10
1840,460,Wheel_2,0.89,151,144,284,275,131,13
1844,461,Wheel_1,0.91,728,142,862,274,132,10
1844,461,Wheel_2,0.89,157,143,290,275,130,13
1848,462,Wheel_1,0.91,734,142,868,274,132,10
1848,462,Wheel_2,0.89,163,143,296,274,130,13
1852,463,Wheel_1,0.9,740,142,875,274,132,10
1852,463,Wheel_2,0.9,170,143,303,274,129,14
1856,464,Wheel_1,0.9,748,143,884,275,131,12
1856,464,Wheel_2,0.9,177,142,309,273,129,13
1860,465,Wheel_1,0.9,754,142,889,275,132,10
1860,465,Wheel_2,0.9,182,142,314,273,128,14
1864,466,Wheel_1,0.9,760,142,895,274,132,10
1864,466,Wheel_2,0.9,188,142,320,273,128,14
1868,467,Wheel_1,0.9,766,143,901,274,132,11
1868,467,Wheel_2,0.9,194,142,327,272,127,15
1872,468,Wheel_1,0.91,774,143,909,274,132,11
1872,468,Wheel_2,0.9,201,141,334,272,127,14
1876,469,Wheel_1,0.9,778,142,914,274,132,10
1876,469,Wheel_2,0.9,206,141,340,271,127,14
1880,470,Wheel_1,0.9,785,142,921,274,132,10
1880,470,Wheel_2,0.9,214,141,346,271,126,15
1884,471,Wheel_1,0.9,790,142,926,274,132,10
1884,471,Wheel_2,0.9,219,140,352,270,126,14
1888,472,Wheel_1,0.9,797,142,932,274,132,10
1888,472,Wheel_2,0.9,225,140,358,270,126,14
1892,473,Wheel_1,0.9,803,142,938,275,132,10
1892,473,Wheel_2,0.9,232,140,365,270,125,15
1896,474,Wheel_1,0.9,808,143,944,276,132,11
1896,474,Wheel_2,0.9,238,139,370,269,125,14
1900,475,Wheel_1,0.9,816,143,951,277,132,11
1900,475,Wheel_2,0.9,243,139,377,269,125,14
1904,476,Wheel_1,0.9,821,144,957,278,132,12
1904,476,Wheel_2,0.9,249,139,382,269,124,15
1908,477,Wheel_1,0.9,825,145,961,279,133,12
1908,477,Wheel_2,0.9,255,139,388,269,124,15
1912,478,Wheel_1,0.89,832,148,962,281,133,15
1912,478,Wheel_2,0.9,261,139,396,269,124,15
1916,479,Wheel_1,0.89,838,149,962,282,134,15
1916,479,Wheel_2,0.9,266,138,401,269,124,14
1920,480,Wheel_1,0.89,844,149,962,282,135,14
1920,480,Wheel_2,0.91,272,138,408,269,124,14
1924,481,Wheel_1,0.89,850,149,962,282,134,15
1924,481,Wheel_2,0.9,278,138,414,268,124,14
1928,482,Wheel_1,0.89,855,148,962,282,140,8
1928,482,Wheel_2,0.9,284,137,420,268,124,13
1932,483,Wheel_1,0.88,861,148,962,281,142,6
1932,483,Wheel_2,0.9,290,137,426,268,124,13
1936,484,Wheel_1,0.87,867,149,962,281,144,5
1936,484,Wheel_2,0.9,295,137,432,268,124,13
1940,485,Wheel_1,0.88,874,149,962,281,145,4
1940,485,Wheel_2,0.9,301,136,439,268,124,12
1944,486,Wheel_1,0.87,880,149,962,280,147,2
1944,486,Wheel_2,0.9,307,136,444,268,124,12
1948,487,Wheel_1,0.86,885,149,962,280,148,1
1948,487,Wheel_2,0.9,313,136,450,267,124,12
1952,488,Wheel_1,0.86,891,150,962,279,147,3
1952,488,Wheel_2,0.9,319,135,455,266,124,11
1956,489,Wheel_1,0.86,897,151,962,279,148,3
1956,489,Wheel_2,0.9,324,135,461,266,123,12
1960,490,Wheel_1,0.85,902,152,961,278,150,2
1960,490,Wheel_2,0.9,329,135,467,266,123,12
1964,491,Wheel_1,0.84,907,151,962,278,151,0
1964,491,Wheel_2,0.9,335,134,473,267,123,11
1968,492,Wheel_1,0.82,914,152,962,278,152,0
1968,492,Wheel_2,0.9,341,134,478,266,122,12
1972,493,Wheel_1,0.8,920,153,962,278,153,0
1972,493,Wheel_2,0.89,346,134,484,267,122,12
1976,494,Wheel_1,0.78,925,155,962,278,155,0
1976,494,Wheel_2,0.9,352,134,489,266,121,13
1980,495,Wheel_2,0.9,358,134,495,266,121,13
1984,496,Wheel_2,0.9,363,134,501,266,121,13
1988,497,Wheel_2,0.89,369,133,506,266,120,13
1992,498,Wheel_2,0.9,375,133,511,266,120,13
1996,499,Wheel_2,0.9,381,132,517,266,120,12
2000,500,Wheel_2,0.89,386,132,522,265,120,12
2004,501,Wheel_2,0.89,391,132,528,265,119,13
2008,502,Wheel_2,0.89,398,132,533,264,119,13
2012,503,Wheel_2,0.9,403,131,539,264,119,12
2016,504,Wheel_2,0.89,408,132,544,265,118,14
2020,505,Wheel_2,0.89,413,132,550,266,118,14
2024,506,Wheel_2,0.9,419,131,555,266,117,14
2028,507,Wheel_2,0.9,425,132,561,267,117,15
2032,508,Wheel_2,0.9,431,133,567,267,117,16
2036,509,Wheel_2,0.9,437,134,573,268,117,17
2040,510,Wheel_2,0.9,444,136,578,270,118,18
2044,511,Wheel_2,0.9,450,138,584,272,118,20
2048,512,Wheel_2,0.9,455,139,590,273,118,21
2052,513,Wheel_2,0.91,461,140,596,273,119,21
2056,514,Wheel_2,0.9,467,140,601,274,120,20
2060,515,Wheel_2,0.9,472,140,607,273,124,16
2064,516,Wheel_2,0.9,478,140,612,272,121,19
2068,517,Wheel_2,0.9,484,141,618,271,122,19
2072,518,Wheel_2,0.9,489,141,624,272,123,18
2076,519,Wheel_2,0.9,493,141,629,272,127,14
2080,520,Wheel_2,0.91,499,141,635,272,128,13
2084,521,Wheel_2,0.9,505,141,641,272,128,13
2088,522,Wheel_2,0.9,510,141,647,272,129,12
2092,523,Wheel_2,0.9,516,142,653,273,130,12
2096,524,Wheel_2,0.9,522,142,659,273,130,12
2100,525,Wheel_2,0.9,528,142,665,273,131,11
2104,526,Wheel_2,0.9,533,142,671,273,131,11
2108,527,Wheel_2,0.91,539,143,677,273,131,12
2112,528,Wheel_2,0.9,546,142,683,273,132,10
2116,529,Wheel_2,0.9,552,142,689,273,132,10
2120,530,Wheel_2,0.9,559,143,695,272,132,11
2124,531,Wheel_2,0.9,565,143,702,272,132,11
2128,532,Wheel_2,0.9,572,142,709,272,132,10
2132,533,Wheel_2,0.9,577,142,714,272,131,11
